SPECIES_PK,GENUS,SPECIES,SCIENTIFIC_NAME,COMMON_NAME,FAMILY,Trevally_109,Jacks_110,Bottomfishes_200,Groupers_210,Deep_snappers_230,Prist_Etelis_240,Emporers_260,Inshore_groupers_380,Inshore_snappers_390,Fish_100
201,Anyperodon,Slender grouper,leucogrammicus,Slender grouper,Serranidae,0,0,1,1,0,0,0,1,0,1
202,Cephalopholis,Golden hind,aurantia,Golden hind,Serranidae,0,0,1,1,0,0,0,1,0,1
203,Cephalopholis,Garish hind,igarashiensis,Garish hind,Serranidae,0,0,1,1,0,0,0,1,0,1
204,Cephalopholis,Six-blotch/banded hind,sexmaculata,Six-blotch/banded hind,Serranidae,0,0,1,1,0,0,0,1,0,1
205,Cephalopholis,Strawberry hind,spiloparaea,Strawberry hind,Serranidae,0,0,1,1,0,0,0,1,0,1
206,Epinephelus,Giant grouper,lanceolatus,Giant grouper,Serranidae,0,0,1,1,0,0,0,1,0,1
207,Epinephelus,Longspine grouper,longispinnis,Longspine grouper,Serranidae,0,0,1,1,0,0,0,1,0,1
208,Epinephelus,One-bloch grouper,melanostigma,One-bloch grouper,Serranidae,0,0,1,1,0,0,0,1,0,1
209,Epinephelus,Honeycomb grouper,merra,Honeycomb grouper,Serranidae,0,0,1,1,0,0,0,1,0,1
210,Epinephelus,Groupers,spp.,Groupers,Serranidae,0,0,1,1,0,0,0,1,0,1
211,Hyporthodus,Eightbar grouper,octofasciatus,Eightbar grouper,Serranidae,0,0,1,1,0,0,0,1,0,1
212,Epinephelus,Greasy grouper,tauvina,Greasy grouper,Serranidae,0,0,1,1,0,0,0,1,0,1
213,Cephalopholis,Peacock hind,argus,Peacock hind,Serranidae,0,0,1,1,0,0,0,1,0,1
214,Cephalopholis,Flagtail grouper,urodeta,Flagtail grouper,Serranidae,0,0,1,1,0,0,0,1,0,1
215,Cephalopholis,Tomato hind/grouper,sonnerati,Tomato hind/grouper,Serranidae,0,0,1,1,0,0,0,1,0,1
216,Plectropomus,Squaretail coral grouper,areolatus,Squaretail coral grouper,Serranidae,0,0,1,1,0,0,0,1,0,1
217,Plectropomus,Saddleback grouper,laevi,Saddleback grouper,Serranidae,0,0,1,1,0,0,0,1,0,1
218,Plectropomus,Leopard coralgrouper,leopardus,Leopard coralgrouper,Serranidae,0,0,1,1,0,0,0,1,0,1
219,Saloptia,Powell's grouper,powelli,Powell's grouper,Serranidae,0,0,1,1,0,0,0,1,0,1
220,Variola,White-edged lyretail,albimarginata,White-edged lyretail,Serranidae,0,0,1,1,0,0,0,1,0,1
221,Epinephelus,Blacktip grouper,fasciatus,Blacktip grouper,Serranidae,0,0,1,1,0,0,0,1,0,1
222,Epinephelus,Yellowspot grouper,timorensis,Yellowspot grouper,Serranidae,0,0,1,1,0,0,0,1,0,1
223,Epinephelus,Striped grouper,morrhua,Striped grouper,Serranidae,0,0,1,1,0,0,0,1,0,1
224,Epinephelus,Hexagon grouper,hexagonatus,Hexagon grouper,Serranidae,0,0,1,1,0,0,0,1,0,1
226,Epinephelus,Spotted grouper,maculatus,Spotted grouper,Serranidae,0,0,1,1,0,0,0,1,0,1
227,Epinephelus,Smalltooth grouper,microdon,Smalltooth grouper,Serranidae,0,0,1,1,0,0,0,1,0,1
228,Epinephelus,Netfin grouper,miliaris,Netfin grouper,Serranidae,0,0,1,1,0,0,0,1,0,1
229,Variola,Yellow-edged lyretail,louti,Yellow-edged lyretail,Serranidae,0,0,1,1,0,0,0,1,0,1
230,Multi-genera,Deep water snappers,Multi-species,Deep water snappers,Lutjanidae,0,0,1,0,1,0,0,0,1,1
231,Lutjanus,Blue lined snapper,kasmira,Blue lined snapper,Lutjanidae,0,0,1,0,1,0,0,0,1,1
232,Lutjanus,Yellow-lined/Rufous snappe,rufolineatus,Yellow-lined/Rufous snappe,Lutjanidae,0,0,1,0,1,0,0,0,1,1
233,Lutjanus,Blacktail/Yellow margin sn,fulvus,Blacktail/Yellow margin sn,Lutjanidae,0,0,1,0,1,0,0,0,1,1
234,Lutjanus,Onespot snapper,monostigma,Onespot snapper,Lutjanidae,0,0,1,0,1,0,0,0,1,1
235,Lutjanus,Twinspot/red snapper,bohar,Twinspot/red snapper,Lutjanidae,0,0,1,0,1,0,0,0,1,1
236,Lutjanus,Humpback snapper,gibbus,Humpback snapper,Lutjanidae,0,0,1,0,1,0,0,0,1,1
237,Lutjanus,Humphead snapper,sanguineus,Humphead snapper,Lutjanidae,0,0,1,0,1,0,0,0,1,1
238,Aphareus,Brown jobfish,furca,Brown jobfish,Lutjanidae,0,0,1,0,1,0,0,0,1,1
239,Aprion,Gray jobfish,virescens,Gray jobfish,Lutjanidae,0,0,1,0,1,0,0,0,1,1
240,Pristipomoides,Pristipomoides/Etelis,Etelis spp.,Pristipomoides/Etelis,Lutjanidae,0,0,1,0,1,1,0,0,1,1
241,Pristipomoides,Yelloweye snapper,flavipinnis,Yelloweye snapper,Lutjanidae,0,0,1,0,1,1,0,0,1,1
242,Pristipomoides,Pink snapper /Crimson jobf,filamentosus,Pink snapper /Crimson jobf,Lutjanidae,0,0,1,0,1,1,0,0,1,1
243,Pristipomoides,Yelloweye opakapaka,rutilans,Yelloweye opakapaka,Lutjanidae,0,0,1,0,1,1,0,0,1,1
244,Pristipomoides,Blue lined gindai,argyrogrammicus,Blue lined gindai,Lutjanidae,0,0,1,0,1,1,0,0,1,1
245,Pristipomoides,Flower snapper (gindai),zonatus,Flower snapper (gindai),Lutjanidae,0,0,1,0,1,1,0,0,1,1
246,Pristipomoides,Goldflag jobfish,auricilla,Goldflag jobfish,Lutjanidae,0,0,1,0,1,1,0,0,1,1
247,Aphareus,Silverjaw jobfish (lehi),rutilans,Silverjaw jobfish (lehi),Lutjanidae,0,0,1,0,1,0,0,0,1,1
248,Etelis,Longtail snapper (onaga),coruscans,Longtail snapper (onaga),Lutjanidae,0,0,1,0,1,1,0,0,1,1
249,Etelis,Ruby snapper (ehu),carbunculus,Ruby snapper (ehu),Lutjanidae,0,0,1,0,1,1,0,0,1,1
250,Pristipomoides,Multidens snapper,multidens,Multidens snapper,Lutjanidae,0,0,1,0,1,1,0,0,1,1
251,Macolor,Black snapper,niger,Black snapper,Lutjanidae,0,0,1,0,1,0,0,0,1,1
252,Paracaesio,Stone's snapper,stonei,Stone's snapper,Lutjanidae,0,0,1,0,1,0,0,0,1,1
253,Paracaesio,Kusakar's snapper,kusakarii,Kusakar's snapper,Lutjanidae,0,0,1,0,1,0,0,0,1,1
254,Monotaxis,Bigeye bream,grandoculis,Bigeye bream,Lethrinidae,0,0,1,0,0,0,1,0,0,1
255,Gnathodentex,Goldenline bream,aureolineatus,Goldenline bream,Lethrinidae,0,0,1,0,0,0,1,0,0,1
256,Etelis,Scarlet snapper,radiosus,Scarlet snapper,Lutjanidae,0,0,1,0,1,1,0,0,1,1
257,Lutjanus,Timor snapper,timorensis,Timor snapper,Lutjanidae,0,0,1,0,1,0,0,0,1,1
260,Multi-genera,Emperors,Multi-species,Emperors,Lethrinidae,0,0,1,0,0,0,1,0,0,1
261,Lethrinus,Longnose emperor,elongatus,Longnose emperor,Lethrinidae,0,0,1,0,0,0,1,0,0,1
262,Lethrinus,Ambon emperor,amboinensis,Ambon emperor,Lethrinidae,0,0,1,0,0,0,1,0,0,1
263,Gymnocranius,Blueline bream,grandoculis,Blueline bream,Lethrinidae,0,0,1,0,0,0,1,0,0,1
264,Gnathodentex,Yellowspot emperor,aurolineatus,Yellowspot emperor,Lethrinidae,0,0,1,0,0,0,1,0,0,1
266,Lethrinus,Orangespot emperor,erythracanthus,Orangespot emperor,Lethrinidae,0,0,1,0,0,0,1,0,0,1
267,Lethrinus,Redgill emperor,rubrioperculatus,Redgill emperor,Lethrinidae,0,0,1,0,0,0,1,0,0,1
291,Promethichthys,Snake mackerel,prometheus,Snake mackerel,Gempylidae,0,0,1,0,0,0,0,0,0,1
292,Ruvettus,Oilfish,"pretiosus, marleyi",Oilfish,Gempylidae,0,0,1,0,0,0,0,0,0,1
293,Tarachtichthys,Pomfret,steindachneri,Pomfret,Bramidae,0,0,1,0,0,0,0,0,0,1
300,Multi-genera,Reef fishes (unknown),Multi-species,Reef fishes (unknown),Multi-family,0,0,0,0,0,0,0,0,0,1
303,Kyphosus,Rudderfish (cinerascens),cinerascens,Rudderfish (cinerascens),Kyphosidae,0,0,0,0,0,0,0,0,0,1
310,Siganus,Rabbitfishes,spp.,Rabbitfishes,Siganidae,0,0,0,0,0,0,0,0,0,1
311,Siganus,Scribbled rabbitfish,spinus,Scribbled rabbitfish,Siganidae,0,0,0,0,0,0,0,0,0,1
315,Multi-genera,Cardinalfish,Multi-species,Cardinalfish,Apogonidae,0,0,0,0,0,0,0,0,0,1
318,Abudefduf,Sergeant major,spp.,Sergeant major,Pomacentridae,0,0,0,0,0,0,0,0,0,1
319,Amplycirrhitus,Two spotted hawkfish,bimacula,Two spotted hawkfish,Cirrhitidae,0,0,0,0,0,0,0,0,0,1
320,Acanthurus,Surgeonfishes/tangs,spp.,Surgeonfishes/tangs,Acanthuridae,0,0,0,0,0,0,0,0,0,1
321,Acanthurus,Blue-banded surgeonfish,lineatus,Blue-banded surgeonfish,Acanthuridae,0,0,0,0,0,0,0,0,0,1
322,Ctenochaetus,Striped bristletooth,striatus,Striped bristletooth,Acanthuridae,0,0,0,0,0,0,0,0,0,1
323,Acanthurus,Convict tang,triostegus,Convict tang,Acanthuridae,0,0,0,0,0,0,0,0,0,1
324,Acanthurus,Yellowfin surgeonfish,xanthopterus,Yellowfin surgeonfish,Acanthuridae,0,0,0,0,0,0,0,0,0,1
