Year,ONI,Mon,month_num
2015,2.57,Nov,11
2016,-0.67,Nov,11
2017,-0.84,Nov,11
2018,0.9,Nov,11
2019,0.51,Nov,11
2020,-1.27,Nov,11
1988,-1.8,Dec,12
1989,-0.16,Dec,12
1990,0.4,Dec,12
1991,1.21,Dec,12
1992,-0.28,Dec,12
1993,0.04,Dec,12
1994,1.01,Dec,12
1995,-1,Dec,12
1996,-0.45,Dec,12
1997,2.4,Dec,12
1998,-1.48,Dec,12
1999,-1.46,Dec,12
2000,-0.75,Dec,12
2001,-0.35,Dec,12
2002,1.31,Dec,12
2003,0.35,Dec,12
2004,0.66,Dec,12
2005,-0.57,Dec,12
2006,0.94,Dec,12
2007,-1.5,Dec,12
2008,-0.55,Dec,12
2009,1.36,Dec,12
2010,-1.64,Dec,12
2011,-1.09,Dec,12
2012,0.05,Dec,12
2013,-0.17,Dec,12
2014,0.64,Dec,12
2015,2.57,Dec,12
2016,-0.67,Dec,12
2017,-0.84,Dec,12
2018,0.9,Dec,12
2019,0.51,Dec,12
2020,-1.27,Dec,12
