"SPECIES_FK","SCIENTIFIC_NAME","COMMON_NAME","LOCAL_NAME"
"3201","Acanthurus dussumeiri","Eye-striped surgeonfish","NULL"
"3202","Acanthurus leucopareius","Whitebar surgeonfish","NULL"
"3204","Acanthurus nigricans","Whitecheek surgeonfish","Laulama"
"3205","Acanthurus nigricauda","Blackstreak surgeonfish","Pone Iusina"
"3206","Acanthurus nigroris","Bluelined surgeonfish","Gaitolama"
"3207","Acanthurus olivaceus","Orange-spot surgeonfish","Afinamea"
"3209","Acanthurus maculiceps","Spotted Face Surgeonfish","NULL"
"321","Acanthurus lineatus","Blue-banded surgeonfish","Alogo"
"322","Ctenochaetus striatus","Striped bristletooth","NULL"
"323","Acanthurus triostegus","Convict tang","Manini, Magigi"
"324","Acanthurus xanthopterus","Yellowfin surgeonfish","Palagi"
"325","Acanthurus guttatus","Whitespotted surgeonfish","Maogo, Maono"
"326","Acanthurus nigrofuscus","Brown surgeonfish","Poge, Pone"
"327","Naso spp.","Naso tangs","Ume"
"328","Acanthurus achilles","Achilles tang","Kolama"
"3281","Zebrasoma veliferum","Pacific sailfin tang","NULL"
"329","Acanthurus blochii","Ringtail surgeonfish","NULL"
"330","Naso spp.","Unicornfishes","Ume"
"331","Naso annulatus","Whitemargin unicornfish","NULL"
"3311","Naso vlamingii","Bignose unicornfish","Ume masimasi/Ume moana"
"3312","Naso caeruleacauda","Bluetail Unicornfish","NULL"
"332","Naso lituratus","Orangespine unicornfish","Umelei, Iliilia"
"333","Naso brachycentron","Humpback unicornfish","NULL"
"334","Naso brevirostris","Spotted unicornfish","Ume ulutao"
"335","Naso caesius","Gray unicornfish","NULL"
"336","Naso hexacanthius","Black tongue unicornfish","NULL"
"339","Naso unicornis","Bluespine unicornfish","Ume isu"
"340","Sargocentron spp.","Squirrelfishes","Malau"
"341","Sargocentron spiniferum","Saber squirrelfish","Tamalau"
"3411","Myripristis amaena","Brick soldierfish","NULL"
"3412","Myripristis chryseres","Yellowfin soldierfish","NULL"
"3414","Myripristis murdjan","Blotcheye soldierfish","Malau kui"
"3415","Myripristis vittata","Whitetip soldierfish","NULL"
