SPECIES_PK,GENUS,SPECIES,SCIENTIFIC_NAME,COMMON_NAME,FAMILY,Trevally_109,Jacks_110,Bottomfishes_200,Groupers_210,Deep_snappers_230,Prist_Etelis_240,Emporers_260,Inshore_groupers_380,Inshore_snappers_390
5265,Seriola,Yellowtail amberjack,lalandi,Yellowtail amberjack,Carangidae,1,1,1,0,0,0,0,0,0
5247,Selaroides,Yellowstripe scad,leptolepis,Yellowstripe scad,Carangidae,0,0,0,0,0,0,0,0,0
111,Caranx,Black jack,lugubris,Black jack,Carangidae,1,1,1,0,0,0,0,0,0
106,Scomberoides,"Leatherback, Double-spot Q",lysan,"Leatherback, Double-spot Q",Carangidae,1,1,1,0,0,0,0,0,0
104,Decapterus,Mackerel scad (opelu),macarellus,Mackerel scad (opelu),Carangidae,0,0,0,0,0,0,0,0,0
113,Caranx,Bluefin trevally,melampygus,Bluefin trevally,Carangidae,1,1,1,0,0,0,0,0,0
114,Carangoides,Goldspot trevally,orthogrammus,Goldspot trevally,Carangidae,1,1,1,0,0,0,0,0,0
115,Caranx,Brassy trevally,papuensis,Brassy trevally,Carangidae,1,1,1,0,0,0,0,0,0
118,Seriola,Amberjack,rivoliana,Amberjack,Carangidae,1,1,1,0,0,0,0,0,0
5159,Decapterus,Indian scad,russelli,Indian scad,Carangidae,0,0,0,0,0,0,0,0,0
117,Uraspis,Whitemouth trevally,secunda,Whitemouth trevally,Carangidae,1,1,1,0,0,0,0,0,0
112,Caranx,Bigeye trevally,sexfasciatus,Bigeye trevally,Carangidae,1,1,1,0,0,0,0,0,0
5173,Gnathanodon,Golden trevally,speciosus,Golden trevally,Carangidae,1,1,1,0,0,0,0,0,0
5224,Caranx,Tille trevally,tille,Tille trevally,Carangidae,1,1,1,0,0,0,0,0,0
1541,Carcharhinus,Silvertip shark,albimarginatus,Silvertip shark,Carcharhinidae,0,0,0,0,0,0,0,0,0
1542,Carcharhinus,Grey reef shark,amblyrhynchos,Grey reef shark,Carcharhinidae,0,0,0,0,0,0,0,0,0
159,Galeocerdo,Tiger shark,cuvier,Tiger shark,Carcharhinidae,0,0,0,0,0,0,0,0,0
157,Carcharhinus,Silky shark,falciformis,Silky shark,Carcharhinidae,0,0,0,0,0,0,0,0,0
1543,Carcharhinus,Galapagos shark,galapagenis,Galapagos shark,Carcharhinidae,0,0,0,0,0,0,0,0,0
151,Prionace,Blue shark,glauca,Blue shark,Carcharhinidae,0,0,0,0,0,0,0,0,0
156,Carcharhinus,White tip oceanic shark,longimanus,White tip oceanic shark,Carcharhinidae,0,0,0,0,0,0,0,0,0
154,Carcharhinus,Blacktip reef shark,melanopterus,Blacktip reef shark,Carcharhinidae,0,0,0,0,0,0,0,0,0
1544,Triaenodon,White tip reef shark,obesus,White tip reef shark,Carcharhinidae,0,0,0,0,0,0,0,0,0
560,Cassiopea,Upsidedown jellyfishes,andromeda,Upsidedown jellyfishes,Cassiopeidae,0,0,0,0,0,0,0,0,0
3851,Chaetodon,Butterflyfish (auriga),auriga,Butterflyfish (auriga),Chaetodontidae,0,0,0,0,0,0,0,0,0
5269,Chaetodon,Speckled butterflyfish,citrinnellus,Speckled butterflyfish,Chaetodontidae,0,0,0,0,0,0,0,0,0
3854,Chaetodon,Saddleback butterflyfish,ephippium,Saddleback butterflyfish,Chaetodontidae,0,0,0,0,0,0,0,0,0
5183,Chaetodon,Lined butterflyfish,lineolatus,Lined butterflyfish,Chaetodontidae,0,0,0,0,0,0,0,0,0
3852,Chaetodon,Racoon butterflyfish,lunula,Racoon butterflyfish,Chaetodontidae,0,0,0,0,0,0,0,0,0
3853,Chaetodon,Butterflyfish (melanotic),melannotus,Butterflyfish (melanotic),Chaetodontidae,0,0,0,0,0,0,0,0,0
5190,Chaetodon,Ornate butterflyfish,omatissimus,Ornate butterflyfish,Chaetodontidae,0,0,0,0,0,0,0,0,0
385,Chaetodon,Butterflyfishes,spp.,Butterflyfishes,Chaetodontidae,0,0,0,0,0,0,0,0,0
180,Chanos,Milkfish,chanos,Milkfish,Chanidae,0,0,0,0,0,0,0,0,0
593,Caretta,Loggerhead turtle,caretta,Loggerhead turtle,Cheloniidae,0,0,0,0,0,0,0,0,0
595,Eretmochelys,Hawksbill turtle,imbricata,Hawksbill turtle,Cheloniidae,0,0,0,0,0,0,0,0,0
591,Chelonia,Green turtle,mydas,Green turtle,Cheloniidae,0,0,0,0,0,0,0,0,0
594,Lepidochelys,Olive ridley turtle,olivacea,Olive ridley turtle,Cheloniidae,0,0,0,0,0,0,0,0,0
700,Tilapia,Tilapia,zillii,Tilapia,Cichlidae,0,0,0,0,0,0,0,0,0
3192,Neocirrhitus,Flame hawkfish,armatus,Flame hawkfish,Cirrhitidae,0,0,0,0,0,0,0,0,0
319,Amplycirrhitus,Two spotted hawkfish,bimacula,Two spotted hawkfish,Cirrhitidae,0,0,0,0,0,0,0,0,0
5192,Paracirrhites,Halfspotted hawkfish,hemistictus,Halfspotted hawkfish,Cirrhitidae,0,0,0,0,0,0,0,0,0
3191,Cirrhitus,Stocky hawkfish,pinnalatus,Stocky hawkfish,Cirrhitidae,0,0,0,0,0,0,0,0,0
131,Herklotsichthys,Herrings,quadrimaculatus,Herrings,Clupeidae,0,0,0,0,0,0,0,0,0
173,Conger,White eel,cinereus,White eel,Congridae,0,0,0,0,0,0,0,0,0
172,Conger,Conger eels,spp.,Conger eels,Congridae,0,0,0,0,0,0,0,0,0
531,Conus,Cone snail,spp.,Cone snail,Conidae,0,0,0,0,0,0,0,0,0
404,Coryphaena,Mahimahi,hippurus,Mahimahi,Coryphenidae,0,0,0,0,0,0,0,0,0
5014,Sesama,Large red crab,erythrodactyla,Large red crab,Decopoda,0,0,0,0,0,0,0,0,0
5011,Carpillius,Spotted/7-11reef crab,maculatus,Spotted/7-11reef crab,Decopoda,0,0,0,0,0,0,0,0,0
503,Scylla,Mangrove crab,paramamosian,Mangrove crab,Decopoda,0,0,0,0,0,0,0,0,0
624,Steno,Rough tooth dolphin,bredanesis,Rough tooth dolphin,Delphinidae,0,0,0,0,0,0,0,0,0
604,Pseudorca,False killer whale,crassidens,False killer whale,Delphinidae,0,0,0,0,0,0,0,0,0
623,Grampus,Risso's dolphin,griseus,Risso's dolphin,Delphinidae,0,0,0,0,0,0,0,0,0
622,Stenella,Spinner dolphin,longirostris,Spinner dolphin,Delphinidae,0,0,0,0,0,0,0,0,0
602,Globicephala,Pilot whale,melas,Pilot whale,Delphinidae,0,0,0,0,0,0,0,0,0
621,Tursiops,Bottlenose dolphin,spp.,Bottlenose dolphin,Delphinidae,0,0,0,0,0,0,0,0,0
592,Dermochelys,Leatherback turtle,coriacea,Leatherback turtle,Dermochelyidae,0,0,0,0,0,0,0,0,0
553,"Diadema, Echinothrix",Black sea urchin,spp.,Black sea urchin,Diadematidae,0,0,0,0,0,0,0,0,0
556,"Diadema, Echinothrix",Black sea urchin insides,spp.,Black sea urchin insides,Diadematidae,0,0,0,0,0,0,0,0,0
5115,Diodon,Porcupinefish,hystrix,Porcupinefish,Diodontidae,0,0,0,0,0,0,0,0,0
386,Diodon,Porcupinefish,spp.,Porcupinefish,Diodontidae,0,0,0,0,0,0,0,0,0
